source,target,target_text,type
8.1,7.5,Electromagnetic field,DEPENDS_ON
8.1,7.7,Lorenz gauge,DEPENDS_ON
8.2,4.2,Four-vector,DEPENDS_ON
8.2,7.6,Maxwell's equations,DEPENDS_ON
8.2,8.5,Charge conservation,DEPENDS_ON
8.3,5.2,Lagrangian,DEPENDS_ON
8.3,7.1,Vector potential,DEPENDS_ON
8.3,8.1,Gauge invariance,DEPENDS_ON
8.4,4.4,Velocity four-vector,DEPENDS_ON
8.4,4.5,Momentum four-vector,DEPENDS_ON
8.4,5.1,Action principle,DEPENDS_ON
8.4,7.2,Field tensor,DEPENDS_ON
8.4,7.5,Electromagnetic field,DEPENDS_ON
8.4,8.3,Minimal coupling,DEPENDS_ON
8.5,7.6,Maxwell's equations,DEPENDS_ON
8.5,8.2,Four-current,DEPENDS_ON
9.1,7.3,Electric field,DEPENDS_ON
9.1,7.4,Magnetic field,DEPENDS_ON
9.1,7.5,Electromagnetic field,DEPENDS_ON
9.1,9.4,Energy--momentum tensor,DEPENDS_ON
9.2,7.5,Electromagnetic field,DEPENDS_ON
9.2,9.1,Energy density of EM field,DEPENDS_ON
9.3,3.3,Metric tensor,DEPENDS_ON
9.3,7.2,Field tensor,DEPENDS_ON
9.4,5.6,Noether's theorem,DEPENDS_ON
9.4,7.2,Field tensor,DEPENDS_ON
10.1,1.2,Constancy of the speed of light,DEPENDS_ON
10.1,7.3,Electric field,DEPENDS_ON
10.1,7.4,Magnetic field,DEPENDS_ON
10.1,7.5,Electromagnetic field,DEPENDS_ON
10.1,8.2,Four-current,DEPENDS_ON
10.1,9.2,Momentum density (Poynting vector),DEPENDS_ON
10.1,9.4,Energy--momentum tensor,DEPENDS_ON
10.2,3.3,Metric tensor,DEPENDS_ON
10.2,7.1,Vector potential,DEPENDS_ON
10.2,7.7,Lorenz gauge,DEPENDS_ON
10.2,8.2,Four-current,DEPENDS_ON
10.2,10.1,Electromagnetic waves,DEPENDS_ON
10.3,8.4,Lorentz force law,DEPENDS_ON
10.3,9.4,Energy--momentum tensor,DEPENDS_ON
10.3,10.1,Electromagnetic waves,DEPENDS_ON
11.1,2.1,Inertial frames,DEPENDS_ON
11.1,3.1,Lorentz transformations,DEPENDS_ON
11.1,3.3,Metric tensor,DEPENDS_ON
11.1,4.2,Four-vectors,DEPENDS_ON
11.1,7.2,Field tensor,DEPENDS_ON
11.1,9.4,Energy--momentum tensor,DEPENDS_ON
11.2,7.1,Vector potentials,DEPENDS_ON
11.2,7.2,Field tensor,DEPENDS_ON
11.2,7.5,Electromagnetic field,DEPENDS_ON
11.2,7.6,Maxwell's equations,DEPENDS_ON
11.2,7.7,Lorenz gauge,DEPENDS_ON
11.2,8.1,Gauge invariance,DEPENDS_ON
